sentence,relation
Prolonged administration of Lonicera caerulaea berry extracts induced the antioxidant defense mechanism in the tumor tissues while surprisingly amplifying the peripheral oxidative stress. ,Treatment_of_disease
Beneficial effects of Lepidium meyenii ( Maca ) on psychological symptoms and measures of sexual dysfunction in postmenopausal women are not related to estrogen or androgen content. ,Treatment_of_disease
Beneficial effects of Lepidium meyenii ( Maca ) on psychological symptoms and measures of sexual dysfunction in postmenopausal women are not related to estrogen or androgen content. ,Treatment_of_disease
Beneficial effects of Lepidium meyeni i (Maca) on psychological symptoms and measures of sexual dysfunction in postmenopausal women are not related to estrogen or androgen content. ,Treatment_of_disease
Beneficial effects of Lepidium meyeni i (Maca) on psychological symptoms and measures of sexual dysfunction in postmenopausal women are not related to estrogen or androgen content. ,Treatment_of_disease
The Greene Climacteric Scale revealed a significant reduction in scores in the areas of psychological symptoms including the subscales for anxiety and depression and sexual dysfunction after Maca consumption compared with both baseline and placebo (P < 0.05). ,Treatment_of_disease
The Greene Climacteric Scale revealed a significant reduction in scores in the areas of psychological symptoms including the subscales for anxiety and depression and sexual dysfunction after Maca consumption compared with both baseline and placebo (P < 0.05). ,Treatment_of_disease
The Greene Climacteric Scale revealed a significant reduction in scores in the areas of psychological symptoms including the subscales for anxiety and depression and sexual dysfunction after Maca consumption compared with both baseline and placebo (P < 0.05). ,Treatment_of_disease
The Greene Climacteric Scale revealed a significant reduction in scores in the areas of psychological symptoms  including the subscales for anxiety and depression and sexual dysfunction after Maca consumption compared with both baseline and placebo (P < 0.05). ,Treatment_of_disease
CONCLUSIONS: Preliminary findings show that Lepidium meyenii ( Maca ) (3.5 g/d) reduces psychological symptoms including anxiety and depression  and lowers measures of sexual dysfunction in postmenopausal women independent of estrogenic and androgenic activity. ,Treatment_of_disease
CONCLUSIONS: Preliminary findings show that Lepidium meyenii ( Maca ) (3.5 g/d) reduces psychological symptoms including anxiety and depression and lowers measures of sexual dysfunction in postmenopausal women independent of estrogenic and androgenic activity. ,Treatment_of_disease
CONCLUSIONS: Preliminary findings show that Lepidium meyenii ( Maca ) (3.5 g/d) reduces psychological symptoms  including anxiety and depression and lowers measures of sexual dysfunction in postmenopausal women independent of estrogenic and androgenic activity. ,Treatment_of_disease
CONCLUSIONS: Preliminary findings show that Lepidium meyenii ( Maca ) (3.5 g/d) reduces psychological symptoms including anxiety and depression and lowers measures of sexual dysfunction in postmenopausal women independent of estrogenic and androgenic activity. ,Treatment_of_disease
CONCLUSIONS: Preliminary findings show that Lepidium meyenii (Maca) (3.5 g/d) reduces psychological symptoms including anxiety and depression  and lowers measures of sexual dysfunction in postmenopausal women independent of estrogenic and androgenic activity. ,Treatment_of_disease
CONCLUSIONS: Preliminary findings show that Lepidium meyenii (Maca) (3.5 g/d) reduces psychological symptoms including anxiety and depression and lowers measures of sexual dysfunction in postmenopausal women independent of estrogenic and androgenic activity. ,Treatment_of_disease
CONCLUSIONS: Preliminary findings show that Lepidium meyenii (Maca) (3.5 g/d) reduces psychological symptoms  including anxiety and depression and lowers measures of sexual dysfunction in postmenopausal women independent of estrogenic and androgenic activity. ,Treatment_of_disease
CONCLUSIONS: Preliminary findings show that Lepidium meyenii (Maca) (3.5 g/d) reduces psychological symptoms including anxiety and depression and lowers measures of sexual dysfunction in postmenopausal women independent of estrogenic and androgenic activity. ,Treatment_of_disease
CCSPS (4870 patients follow-up 4 years) a secondary prevention trial using xuezhikang a commercial red yeast rice preparation produced a 46% reduction in nonfatal myocardial infarction and coronary death . ,Treatment_of_disease
CCSPS (4870 patients follow-up 4 years) a secondary prevention trial using xuezhikang a commercial red yeast rice preparation produced a 46% reduction in nonfatal myocardial infarction and coronary death. ,Treatment_of_disease
Red yeast rice reduces adverse cardiac events to a similar degree as the statins. ,Treatment_of_disease
It is unlikely that garlic is useful in preventing cardiovascular disease . ,Negative
Evaluation of the use of coconut to treat chronic diarrhea in rhesus macaques (Macaca mulatta). ,Negative
 Coconut has been used as a dietary supplement for people with inflammatory bowel disease  with anecdotal reports of decreased diarrhea following the dietary addition. ,Treatment_of_disease
 Coconut has been used as a dietary supplement for people with inflammatory bowel disease with anecdotal reports of decreased diarrhea following the dietary addition. ,Negative
A dietary trial in rhesus macaques was initiated to evaluate the hypothesis that dietary coconut decreases symptoms of chronic diarrhea in rhesus macaques. ,Negative
RESULTS AND CONCLUSIONS: Data of chi-squared analysis obtained from eight rhesus macaques with chronic diarrhea showed that the use of coconut macaroons as a dietary supplement did not have a statistically significant effect on their diarrhea . ,Negative
RESULTS AND CONCLUSIONS: Data of chi-squared analysis obtained from eight rhesus macaques with chronic diarrhea showed that the use of coconut macaroons as a dietary supplement did not have a statistically significant effect on their diarrhea. ,Negative
 Coffee consumption and risk of type 2 diabetes  cardiovascular diseases and cancer. ,Negative
 Coffee consumption and risk of type 2 diabetes cardiovascular diseases and cancer . ,Negative
 Coffee consumption and risk of type 2 diabetes cardiovascular diseases  and cancer. ,Negative
Numerous epidemiological studies have evaluated the association between coffee consumption and risk of type 2 diabetes  coronary heart disease and various cancers. ,Association
Numerous epidemiological studies have evaluated the association between coffee consumption and risk of type 2 diabetes coronary heart disease  and various cancers. ,Association
Numerous epidemiological studies have evaluated the association between coffee consumption and risk of type 2 diabetes coronary heart disease and various cancers . ,Association
Several early studies suggested that coffee consumption could result in a marked increase in risk of coronary heart disease and several types of cancer. ,Cause_of_disease
Several early studies suggested that coffee consumption could result in a marked increase in risk of coronary heart disease and several types of cancer . ,Cause_of_disease
However evidence has been accumulating that frequent consumption of coffee may reduce risk of type 2 diabetes and liver cancer. ,Treatment_of_disease
However evidence has been accumulating that frequent consumption of coffee may reduce risk of type 2 diabetes and liver cancer . ,Treatment_of_disease
In sum the currently available evidence on coffee and risk of cardiovascular diseases and cancer is largely reassuring and suggests that for the general population addressing other health-related behaviors has priority for the prevention of chronic diseases. ,Negative
In sum the currently available evidence on coffee and risk of cardiovascular diseases and cancer is largely reassuring and suggests that for the general population addressing other health-related behaviors has priority for the prevention of chronic diseases. ,Negative
In sum the currently available evidence on coffee and risk of cardiovascular diseases and cancer is largely reassuring and suggests that for the general population addressing other health-related behaviors has priority for the prevention of chronic diseases . ,Negative
Estrogen activities and the cellular effects of natural progesterone from wild yam extract in mcf-7 human breast cancer cells. ,Negative
We studied the estrogenic activity and cellular effect of wild yam extract in MCF-7 human breast cancer cells. ,Negative
These data indicate that wild yam extract acts as a weak phytoestrogen and protects against proliferation in human breast carcinoma MCF-7 cells. ,Treatment_of_disease
Relationship between long-term coffee consumption and components of the metabolic syndrome : the Amsterdam Growth and Health Longitudinal Study. ,Negative
It is known that the risk of DM II can be decreased by coffee consumption. ,Treatment_of_disease
Therefore we examined the association between coffee consumption and the components of the metabolic syndrome . ,Negative
Prospective data from the Amsterdam Growth and Health Longitudinal Study (AGAHLS) is used to analyse the associations between coffee consumption (averaged over a period from 27 till 42 years) and the components of the metabolic syndrome (at the age of 42 years). ,Negative
For men coffee consumption was not associated with any of the components of the metabolic syndrome . ,Negative
The species of Passiflora are popularly used as a sedative or tranquillizer and also against intermittent fever and skin inflammation . ,Treatment_of_disease
The species of Passiflora are popularly used as a sedative or tranquillizer and also against intermittent fever and skin inflammation. ,Treatment_of_disease
In this study we evaluated the anti-inflammatory activity of four sub-fractions and three isolated compounds from the butanolic fraction of P. edulis var. flavicarpa leaves using the mouse model of pleurisy induced by carrageenan. ,Negative
The present study showed that the C-glucosylflavones isolated from P. edulis leaves can be responsible for the anti-inflammatory effect of P. edulis on the mouse model of pleurisy . ,Treatment_of_disease
The present study showed that the C-glucosylflavones isolated from P. edulis leaves can be responsible for the anti-inflammatory effect of P. edulis on the mouse model of pleurisy . ,Treatment_of_disease
Chinese green tea ameliorates lung injury in cigarette smoke-exposed rats. ,Treatment_of_disease
This study was to investigate whether cigarette smoke (CS) exposure would induce lung morphological changes and oxidative stress in the CS-exposed rat model and whether Chinese green tea (Lung Chen tea with EGCG as its main active ingredient) consumption would alter oxidative stress in sera and lung leading to protection of CS-induced lung damage . ,Negative
This study was to investigate whether cigarette smoke (CS) exposure would induce lung morphological changes and oxidative stress in the CS-exposed rat model and whether Chinese green tea (Lung Chen tea with EGCG as its main active ingredient) consumption would alter oxidative stress in sera and lung leading to protection of CS-induced lung damage . ,Negative
RESULTS: Airspace enlargement and goblet cell hyperplasia were observed after 56-day CS exposure alone which were abolished in the presence of green tea consumption. ,Treatment_of_disease
Chinese green tea may have the ability to suppress CS-induced oxidative stress that leads to protection of lung injury . ,Treatment_of_disease
 Olive oil consumption is protective against risk factors for cardiovascular and cancer diseases . ,Treatment_of_disease
 Olive oil consumption is protective against risk factors for cardiovascular and cancer diseases . ,Treatment_of_disease
 Garlic is generally used as a therapeutic reagent against various diseases and numerous studies have indicated that garlic and its derivatives can reduce the risk of various types of human cancer . ,Negative
Garlic is generally used as a therapeutic reagent against various diseases and numerous studies have indicated that garlic and its derivatives can reduce the risk of various types of human cancer . ,Treatment_of_disease
Diallyl trisulfide (DATS) a major member of garlic derivatives could inhibit the cell proliferation by triggering either cell cycle arrest or apoptosis in a variety of cancer cell lines as shown in many studies. ,Treatment_of_disease
BACKGROUND: Garlic or Allium sativum (As) shows therapeutic effects such as reduction of blood pressure or hypercholesterolemia but side-effects on reproductive functions remain poorly investigated. ,Treatment_of_disease
BACKGROUND: Garlic or Allium sativum (As) shows therapeutic effects such as reduction of blood pressure or hypercholesterolemia but side-effects on reproductive functions remain poorly investigated. ,Treatment_of_disease
BACKGROUND: Garlic or Allium sativum ( As ) shows therapeutic effects such as reduction of blood pressure or hypercholesterolemia but side-effects on reproductive functions remain poorly investigated. ,Treatment_of_disease
Induction of apoptosis by tea polyphenols mediated through mitochondrial cell death pathway in mouse skin tumors . ,Treatment_of_disease
In the present study cancer chemopreventive properties of both black tea polyphenols (BTP) and green tea polyphenols (GTP) on 712-dimethylbenz[a]anthracene (DMBA) induced mouse skin carcinogenesis were studied. ,Negative
In the present study cancer chemopreventive properties of both black tea polyphenols (BTP) and green tea polyphenols (GTP) on 712-dimethylbenz[a]anthracene (DMBA) induced mouse skin carcinogenesis were studied. ,Negative
In the present study cancer chemopreventive properties of both black tea polyphenols (BTP) and green tea polyphenols (GTP) on 712-dimethylbenz[a]anthracene (DMBA) induced mouse skin carcinogenesis were studied. ,Negative
In the present study cancer chemopreventive properties of both black tea polyphenols (BTP) and green tea polyphenols (GTP) on 712-dimethylbenz[a]anthracene (DMBA) induced mouse skin carcinogenesis were studied. ,Negative
Thus we can conclude that the polyphenolic constituents present in black tea and green tea induce mitochondrial pathway of apoptosis and hence can be used as a potential chemopreventive agents against skin cancer . ,Treatment_of_disease
Thus we can conclude that the polyphenolic constituents present in black tea and green tea induce mitochondrial pathway of apoptosis and hence can be used as a potential chemopreventive agents against skin cancer . ,Treatment_of_disease
BACKGROUND: Consumption of Plantago ovata may protect against colorectal cancer . ,Treatment_of_disease
To test this hypothesis an ecological study was performed to determine mortality rates and distribution of colorectal cancer  and the consumption and distribution of P ovata  in different provinces in Spain. ,Negative
The putative association between P ovata consumption and mortality from colorectal cancer was then evaluated. ,Negative
METHODS: We conducted a comparative ecological study of Spanish provinces with colorectal cancer mortality as the dependent variable and per capita consumption of P ovata by province and year as the independent variable. ,Negative
RESULTS: Consumption of P ovata tended to be inversely correlated with mortality from colorectal cancer . ,Treatment_of_disease
CONCLUSIONS: Our results show an inverse trend between the consumption of P ovata and colorectal cancer mortality. ,Treatment_of_disease
Neuroprotective evaluation of extract of ginger (Zingiber officinale) root in monosodium glutamate-induced toxicity in different brain areas male albino rats. ,Negative
Neuroprotective evaluation of extract of ginger ( Zingiber officinale ) root in monosodium glutamate-induced toxicity in different brain areas male albino rats. ,Negative
In this study the neuroprotective effect of the extract of ginger (Zingiber officinale) was investigated against MSG-induced neurotoxicity of male albino rat. ,Negative
In this study the neuroprotective effect of the extract of ginger ( Zingiber officinale ) was investigated against MSG-induced neurotoxicity of male albino rat. ,Negative
From these results we can say that the ginger extract has a neuroprotective role against monosodium glutamate toxicity effect. ,Treatment_of_disease
 Green tea and death from pneumonia in Japan: the Ohsaki cohort study. ,Negative
No data are available on the association between green tea consumption and the risk of pneumonia in humans. ,Negative
OBJECTIVE: We examined the association between green tea consumption and death from pneumonia in humans. ,Negative
We excluded participants for whom data on green tea consumption frequency were missing or who had reported a history of cancer  myocardial infarction stroke and extreme daily energy intake at baseline. ,Negative
We excluded participants for whom data on green tea consumption frequency were missing or who had reported a history of cancer myocardial infarction  stroke and extreme daily energy intake at baseline. ,Negative
We excluded participants for whom data on green tea consumption frequency were missing or who had reported a history of cancer myocardial infarction stroke  and extreme daily energy intake at baseline. ,Negative
We used Cox proportional hazards regression analysis to calculate hazard ratios (HRs) and their 95% CIs for death from pneumonia according to green tea consumption. ,Negative
In women the multivariate HRs of death from pneumonia that were associated with different frequencies of green tea consumption were 1.00 (reference) for <1 cup/d 0.59 (95% CI: 0.36 0.98) for 1-2 cups/d 0.55 (95% CI: 0.33 0.91) for 3-4 cups/d and 0.53 (95% CI: 0.33 0.83) for > or =5 cups/d respectively (P for trend: 0.008). ,Treatment_of_disease
CONCLUSION: Green tea consumption was associated with a lower risk of death from pneumonia in Japanese women. ,Treatment_of_disease
Recent studies have documented a role for stabilized rice bran (SRB) in treating diabetes and arthritis although little is known of the bioactive compounds that impart these health benefits. ,Treatment_of_disease
Recent studies have documented a role for stabilized rice bran (SRB) in treating diabetes and arthritis  although little is known of the bioactive compounds that impart these health benefits. ,Treatment_of_disease
Recent studies have documented a role for stabilized rice bran ( SRB ) in treating diabetes and arthritis although little is known of the bioactive compounds that impart these health benefits. ,Treatment_of_disease
Recent studies have documented a role for stabilized rice bran ( SRB ) in treating diabetes and arthritis  although little is known of the bioactive compounds that impart these health benefits. ,Treatment_of_disease
Here we characterize the chemical composition of three extracts of SRB and identify the functional bioactives contributing to the inhibitory properties against three key pro-inflammatory enzymes (cyclooxygenase [COX] 1 COX2 and 5-lipoxygenase [5-LOX]) that control the inflammatory cascade involved in impaired joint health pain and arthritis . ,Negative
Here we characterize the chemical composition of three extracts of SRB and identify the functional bioactives contributing to the inhibitory properties against three key pro-inflammatory enzymes (cyclooxygenase [COX] 1 COX2 and 5-lipoxygenase [5-LOX]) that control the inflammatory cascade involved in impaired joint health pain  and arthritis. ,Negative
These SRB extracts have applications for functional foods and dietary supplements for control of inflammation and joint health. ,Treatment_of_disease
Systematic review of the relation between smokeless tobacco and cancer in Europe and North America. ,Negative
BACKGROUND: Interest is rising in smokeless tobacco as a safer alternative to smoking but published reviews on smokeless tobacco and cancer are limited. ,Negative
BACKGROUND: Interest is rising in smokeless tobacco as a safer alternative to smoking but published reviews on smokeless tobacco and cancer are limited. ,Negative
METHODS: We obtained papers from MEDLINE searches published reviews and secondary references describing epidemiological cohort and case-control studies relating any form of cancer to smokeless tobacco use. ,Negative
For each study details were abstracted on design smokeless tobacco exposure cancers studied analysis methods and adjustment for smoking and other factors. ,Negative
For seven cancers  smoking-attributable deaths in US men in 2005 were compared with deaths attributable to introducing smokeless tobacco into a population of never-smoking men. ,Negative
Some meta-analyses suggest a possible effect for oesophagus pancreas larynx and kidney cancer but other cancers show no effect of smokeless tobacco . ,Negative
Some meta-analyses suggest a possible effect for oesophagus pancreas larynx and kidney cance r but other cancers show no effect of smokeless tobacco . ,Association
Some meta-analyses suggest a possible effect for oesophagus pancreas larynx and kidney cance r but other cancers show no effect of smokeless tobacco . ,Association
Some meta-analyses suggest a possible effect for oesophagus pancreas larynx and kidney cance r but other cancers show no effect of smokeless tobacco . ,Association
Some meta-analyses suggest a possible effect for oesophagus pancreas larynx and kidney cancer  but other cancers show no effect of smokeless tobacco . ,Association
CONCLUSION: An increased risk of oropharyngeal cancer is evident most clearly for past smokeless tobacco use in the USA but not for Scandinavian snuff. ,Cause_of_disease
Effects of smokeless tobacco use on other cancers are not clearly demonstrated. ,Negative
Antitumor effects of a water-soluble extract from Maitake (Grifola frondosa) on human gastric cancer cell lines. ,Treatment_of_disease
Antitumor effects of a water-soluble extract from Maitake ( Grifola frondosa ) on human gastric cancer cell lines. ,Treatment_of_disease
We investigated the effects of a water-soluble extract of Maitake (Grifola frondosa) a Japanese edible mushroom  on the proliferation and cell death of four human gastric cancer cell lines (TMK-1 MKN28 MKN45 and MKN74). ,Negative
We investigated the effects of a water-soluble extract of Maitake (Grifola frondosa) a Japanese edible mushroom on the proliferation and cell death of four human gastric cancer cell lines (TMK-1 MKN28 MKN45 and MKN74). ,Negative
We investigated the effects of a water-soluble extract of Maitake ( Grifola frondosa ) a Japanese edible mushroom on the proliferation and cell death of four human gastric cancer cell lines (TMK-1 MKN28 MKN45 and MKN74). ,Negative
Taken together these results suggest that ME induces apoptosis of TMK-1 cells by caspase-3-dependent and -independent pathways resulting in potential antitumor effects on gastric cancer . ,Treatment_of_disease
 Coffee intake is associated with lower rates of liver disease progression in chronic hepatitis C. ,Treatment_of_disease
 Coffee intake is associated with lower rates of liver disease progression in chronic hepatitis C . ,Treatment_of_disease
Higher coffee consumption has been associated inversely with the incidence of chronic liver disease in population studies. ,Treatment_of_disease
We examined the relationship of coffee consumption with liver disease progression in individuals with advanced hepatitis C-related liver disease. ,Negative
We examined the relationship of coffee consumption with liver disease progression in individuals with advanced hepatitis C-related liver disease . ,Negative
We examined the relationship of coffee consumption with liver disease progression in individuals with advanced hepatitis C -related liver disease. ,Negative
Baseline coffee and tea intake were assessed in 766 participants of the Hepatitis C Antiviral Long-Term Treatment against Cirrhosis (HALT-C) trial who had hepatitis C-related bridging fibrosis or cirrhosis on liver biopsy and failed to achieve a sustained virological response to peginterferon plus ribavirin treatment. ,Negative
Baseline coffee and tea intake were assessed in 766 participants of the Hepatitis C Antiviral Long-Term Treatment against Cirrhosis (HALT-C) trial who had hepatitis C-related bridging fibrosis or cirrhosis on liver biopsy and failed to achieve a sustained virological response to peginterferon plus ribavirin treatment. ,Negative
Baseline coffee and tea intake were assessed in 766 participants of the Hepatitis C Antiviral Long-Term Treatment against Cirrhosis (HALT-C) trial who had hepatitis C-related bridging fibrosis or cirrhosis on liver biopsy and failed to achieve a sustained virological response to peginterferon plus ribavirin treatment. ,Negative
Baseline coffee and tea intake were assessed in 766 participants of the Hepatitis C Antiviral Long-Term Treatment against Cirrhosis (HALT-C) trial who had hepatitis C-related bridging fibrosis or cirrhosis on liver biopsy and failed to achieve a sustained virological response to peginterferon plus ribavirin treatment. ,Negative
Baseline coffee and tea intake were assessed in 766 participants of the Hepatitis C Antiviral Long-Term Treatment against Cirrhosis (HALT-C) trial who had hepatitis C-related bridging fibrosis or cirrhosis on liver biopsy and failed to achieve a sustained virological response to peginterferon plus ribavirin treatment. ,Negative
Baseline coffee and tea intake were assessed in 766 participants of the Hepatitis C Antiviral Long-Term Treatment against Cirrhosis (HALT-C) trial who had hepatitis C-related bridging fibrosis or cirrhosis on liver biopsy and failed to achieve a sustained virological response to peginterferon plus ribavirin treatment. ,Negative
At baseline higher coffee consumption was associated with less severe steatosis on biopsy lower serum aspartate aminotransferase (AST)/alanine aminotransferase (ALT) ratio alpha-fetoprotein insulin and homeostatic model assessment (HOMA2) score and higher albumin (P < 0.05 for all). ,Treatment_of_disease
CONCLUSION: In a large prospective study of participants with advanced hepatitis C-related liver disease  regular coffee consumption was associated with lower rates of disease progression. ,Treatment_of_disease
CONCLUSION: In a large prospective study of participants with advanced hepatitis C -related liver disease regular coffee consumption was associated with lower rates of disease progression. ,Treatment_of_disease
 Hawthorn extract reduces infarct volume and improves neurological score by reducing oxidative stress in rat brain following middle cerebral artery occlusion . ,Treatment_of_disease
 Hawthorn extract reduces infarct volume and improves neurological score by reducing oxidative stress in rat brain following middle cerebral artery occlusion. ,Treatment_of_disease
In our present investigation the neuroprotective effect of alcoholic extract of Hawthorn (Crataegus oxycantha) was evaluated against middle cerebral artery occlusion induced ischemia/reperfusion injury in rats. ,Treatment_of_disease
In our present investigation the neuroprotective effect of alcoholic extract of Hawthorn (Crataegus oxycantha) was evaluated against middle cerebral artery occlusion induced ischemia/reperfusion injury in rats. ,Treatment_of_disease
In our present investigation the neuroprotective effect of alcoholic extract of Hawthorn ( Crataegus oxycantha ) was evaluated against middle cerebral artery occlusion induced ischemia/reperfusion injury in rats. ,Treatment_of_disease
In our present investigation the neuroprotective effect of alcoholic extract of Hawthorn ( Crataegus oxycantha ) was evaluated against middle cerebral artery occlusion induced ischemia/reperfusion injury in rats. ,Treatment_of_disease
CONCLUSION: Our results suggest that Hawthorn extract which is a well known prophylactic for cardiac conditions may very well protect the brain against ischemia-reperfusion . ,Treatment_of_disease
The reduced brain damage and improved neurological behavior after 24 h of reperfusion in Hawthorn extract pretreated group may be attributed to its antioxidant property which restores glutathione levels circumvents the increase in lipid peroxidation and nitric oxide levels thereby reducing peroxynitrite formation and free radical induced brain damage. ,Treatment_of_disease
The reduced brain damage and improved neurological behavior after 24 h of reperfusion in Hawthorn extract pretreated group may be attributed to its antioxidant property which restores glutathione levels circumvents the increase in lipid peroxidation and nitric oxide levels thereby reducing peroxynitrite formation and free radical induced brain damage. ,Negative
The reduced brain damage and improved neurological behavior after 24 h of reperfusion in Hawthorn extract pretreated group may be attributed to its antioxidant property which restores glutathione levels circumvents the increase in lipid peroxidation and nitric oxide levels thereby reducing peroxynitrite formation and free radical induced brain damage . ,Treatment_of_disease
The Mediterranean diet in which olive oil is the primary source of fat is associated with a low mortality for cardiovascular disease . ,Treatment_of_disease
Data concerning olive oil consumption and primary end points for cardiovascular disease are scarce. ,Negative
The wide range of benefits associated with olive oil consumption could contribute to explaining the low rate of cardiovascular mortality found in southern European-Mediterranean countries in comparison with other westernized countries despite a high prevalence of coronary heart disease risk factors. ,Negative
The wide range of benefits associated with olive oil consumption could contribute to explaining the low rate of cardiovascular mortality found in southern European-Mediterranean countries in comparison with other westernized countries despite a high prevalence of coronary heart disease risk factors. ,Treatment_of_disease
Effective tobacco control efforts have resulted in substantial declines in tobacco use and tobacco-related cancer deaths in the United States. ,Negative
Effective tobacco control efforts have resulted in substantial declines in tobacco use and tobacco-related cancer deaths in the United States. ,Negative
Effective tobacco control efforts have resulted in substantial declines in tobacco use and tobacco -related cancer deaths in the United States. ,Cause_of_disease
[Clinical observation on therapeutic effect of combination of acupuncture and ginger -partition moxibustion for treatment of patients with cardiac arrhythmia ]. ,Negative
OBJECTIVE: To compare the therapeutic effect of the combined method of acupuncture and ginger -partition moxibustion with that of routine western medicine on the patients with cardiac arrhythmia . ,Negative
CONCLUSION: The therapeutic effect of the combined method of acupuncture and ginger -partition moxibustion on the patients with cardiac arrhythmia is obviously better than that of routine western medicine. ,Treatment_of_disease
Confronting a neglected epidemic: tobacco cessation for persons with mental illnesses and substance abuse problems. ,Negative
Confronting a neglected epidemic: tobacco cessation for persons with mental illnesses and substance abuse problems . ,Negative
 Tobacco use exerts a huge toll on persons with mental illnesses and substance abuse disorders  accounting for 200000 of the annual 443000 annual tobacco-related deaths in the United States. ,Cause_of_disease
 Tobacco use exerts a huge toll on persons with mental illnesses and substance abuse disorders accounting for 200000 of the annual 443000 annual tobacco-related deaths in the United States. ,Cause_of_disease
Tobacco use exerts a huge toll on persons with mental illnesses and substance abuse disorders  accounting for 200000 of the annual 443000 annual tobacco -related deaths in the United States. ,Negative
Tobacco use exerts a huge toll on persons with mental illnesses and substance abuse disorders accounting for 200000 of the annual 443000 annual tobacco -related deaths in the United States. ,Negative
Hypolipidemic effect of ginger in 12-dimethyl hydrazine-induced experimental colon carcinogenesis . ,Negative
In our laboratory we studied the chemopreventive and hypolipidemic effect of ginger  a dietary spice in 12-dimethylhydrazine (DMH)-induced colon cancer . ,Negative
 Ginger (50 mg/kg body weight P.O.) was given at the initiation and also at the postinitiation stages of carcinogenesis . ,Negative
On administering ginger at the initiation and also at the postinitiation stages of colon carcinogenesis  the levels of fecal bile acids neutral sterols tissue cholesterol HMG CoA reductase free fatty acids triglycerides phospholipase A and phospholipase C were significantly decreased whereas the levels of phospholipids were increased as compared to unsupplemented DMH treated rats. ,Treatment_of_disease
Thus ginger supplementation was found to reduce the risk of colon cancer markedly by virtue of its hypolipidemic and antioxidative effects. ,Treatment_of_disease
 Aloe -emodin induces cell death through S-phase arrest and caspase-dependent pathways in human tongue squamous cancer SCC-4 cells. ,Treatment_of_disease
 Aloe -emodin one of the anthraquinones has been shown to have anticancer activity in different kinds of human cancer cell lines. ,Treatment_of_disease
Therefore the purpose of this study was to investigate the anti-cancer effect of aloe -emodin on human tongue squamous carcinoma SCC-4 cells. ,Negative
 Aloe -emodin promoted the release of apoptosis-inducing factor (AIF) endonuclease G (Endo G) pro-caspase-9 and cytochrome c from the mitochondria via a loss of the mitochondrial membrane potential (DeltaPsi(m)) which was associated with a increase in the ratio of B-cell lymphoma 2-associated X protein (Bax)/B cell lymphoma/leukemia-2 (Bcl-2) and activation of caspase-9 and -3. ,Negative
 Aloe -emodin promoted the release of apoptosis-inducing factor (AIF) endonuclease G (Endo G) pro-caspase-9 and cytochrome c from the mitochondria via a loss of the mitochondrial membrane potential (DeltaPsi(m)) which was associated with a increase in the ratio of B-cell lymphoma 2-associated X protein (Bax)/B cell lymphoma/ leukemia -2 (Bcl-2) and activation of caspase-9 and -3. ,Negative
 Aloe -emodin promoted the release of apoptosis-inducing factor (AIF) endonuclease G (Endo G) pro-caspase-9 and cytochrome c from the mitochondria via a loss of the mitochondrial membrane potential (DeltaPsi(m)) which was associated with a increase in the ratio of B-cell lymphoma 2-associated X protein (Bax)/B cell lymphoma /leukemia-2 (Bcl-2) and activation of caspase-9 and -3. ,Negative
 Aloe -emodin could be a novel chemotherapeutic drug candidate for the treatment of human tongue squamous cance r in the future. ,Treatment_of_disease
Mutagen sensitivity tobacco smoking and breast cancer risk: a case-control study. ,Negative
The mutagen sensitivity assay (MSA) a phenotypic marker of DNA damage response and repair capacity has been consistently shown to associate with the risk of tobacco -related cancers . ,Cause_of_disease
Our data also suggest that bleomycin sensitivity may modulate the effect of tobacco smoking on breast cancer risk. ,Cause_of_disease
Among women with hypersensitivity to bleomycin ever smokers had a 1.6-fold increased risk of breast cancer (95% CI = 0.6-3.9 P for interaction between tobacco smoking and bleomycin sensitivity = 0.32). ,Negative
Among women with hypersensitivity to bleomycin ever smokers had a 1.6-fold increased risk of breast cancer (95% CI = 0.6-3.9 P for interaction between tobacco smoking and bleomycin sensitivity = 0.32). ,Negative
Our observation that the effect of tobacco smoking on breast cancer risk may differ based on mutagen sensitivity status warrants further investigation. ,Cause_of_disease
Further associations between almond oil and improved bowel transit have been made which consequently reduces irritable bowel syndrome symptoms. ,Treatment_of_disease
Historically almond oil had been used in Ancient Chinese Ayurvedic and Greco-Persian schools of Medicine to treat dry skin conditions such as psoriasis and eczema. ,Treatment_of_disease
Historically almond oil had been used in Ancient Chinese Ayurvedic and Greco-Persian schools of Medicine to treat dry skin conditions such as psoriasis and eczema . ,Treatment_of_disease
Further it is through anecdotal evidence and clinical experiences that almond oil seemingly reduces hypertrophic scarring post-operatively smoothes and rejuvenates skin. ,Treatment_of_disease
A lipid-soluble red ginseng extract inhibits the growth of human lung tumor xenografts in nude mice. ,Treatment_of_disease
BALB/c-nu mice were inoculated with human lung cancer (NCI-H460) cells to establish a human tumor xenograft model in nude mice and the lipid-soluble ginseng extract was orally administered. ,Negative
BALB/c-nu mice were inoculated with human lung cancer (NCI-H460) cells to establish a human tumor xenograft model in nude mice and the lipid-soluble ginseng extract was orally administered. ,Negative
The tumor inhibitory rates of the lipid-soluble ginseng extract at doses of 0.1 0.3 and 1.0 g/kg/day were 18.9% (P < .05) 60.0% (P < .001) and 67.5% (P < .001) respectively. ,Treatment_of_disease
